"","id","lat","long","type","site","code","locationtype","country"
"259",14666,50.11552,8.684167,"Dressel 20","Frankfurt am Main","IIMINACRETCAN","Civil Settlement","Germany"
"260",14678,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PNN","Civil Settlement","Germany"
"261",14687,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PNNSHSOLETLUNA","Civil Settlement","Germany"
"262",14689,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PNNVR","Civil Settlement","Germany"
"263",14694,50.11552,8.684167,"Dressel 20","Frankfurt am Main","SNR","Civil Settlement","Germany"
"264",14698,50.11552,8.684167,"Dressel 20","Frankfurt am Main","SNR","Civil Settlement","Germany"
"265",14712,50.11552,8.684167,"Dressel 20","Frankfurt am Main","DOMS","Civil Settlement","Germany"
"266",14729,50.11552,8.684167,"Dressel 20","Frankfurt am Main","DOM","Civil Settlement","Germany"
"267",14732,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CORBEL","Civil Settlement","Germany"
"268",14733,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CORBEL","Civil Settlement","Germany"
"269",14740,50.11552,8.684167,"Dressel 20","Frankfurt am Main","ONESIM","Civil Settlement","Germany"
"270",14741,50.11552,8.684167,"Dressel 20","Frankfurt am Main","OPTATIF","Civil Settlement","Germany"
"271",14743,50.11552,8.684167,"Dressel 20","Frankfurt am Main","OPTATI","Civil Settlement","Germany"
"272",14744,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PHEDERAPAC","Civil Settlement","Germany"
"273",14751,50.11552,8.684167,"Dressel 20","Frankfurt am Main","APAMPHORARAPCR","Civil Settlement","Germany"
"274",14752,50.11552,8.684167,"Dressel 20","Frankfurt am Main","APC","Civil Settlement","Germany"
"275",14763,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CPMC","Civil Settlement","Germany"
"276",14775,50.11552,8.684167,"Dressel 20","Frankfurt am Main","QPPRIX","Civil Settlement","Germany"
"277",14780,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PATERNI","Civil Settlement","Germany"
"278",14786,50.11552,8.684167,"Dressel 20","Frankfurt am Main","POPVLI","Civil Settlement","Germany"
"279",14789,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PQFPQC","Civil Settlement","Germany"
"280",14792,50.11552,8.684167,"Dressel 20","Frankfurt am Main","AQFVA","Civil Settlement","Germany"
"281",14796,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LQS","Civil Settlement","Germany"
"282",14802,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LQS","Civil Settlement","Germany"
"283",14807,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LQS","Civil Settlement","Germany"
"284",14808,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LQS","Civil Settlement","Germany"
"285",14816,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LQSK","Civil Settlement","Germany"
"286",14833,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PRMCASPRMCER","Civil Settlement","Germany"
"287",14834,50.11552,8.684167,"Dressel 20","Frankfurt am Main","RIVCRUXESRM","Civil Settlement","Germany"
"288",14844,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PORPS","Civil Settlement","Germany"
"289",14845,50.11552,8.684167,"Dressel 20","Frankfurt am Main","PORPS","Civil Settlement","Germany"
"290",14851,50.11552,8.684167,"Dressel 20","Frankfurt am Main","LSAR","Civil Settlement","Germany"
"291",14858,50.11552,8.684167,"Dressel 20","Frankfurt am Main","CSO","Civil Settlement","Germany"
"292",14907,50.11552,8.684167,"Dressel 20","Frankfurt am Main","SATVRNINI","Civil Settlement","Germany"
"293",14910,50.11552,8.684167,"Dressel 20","Frankfurt am Main","SAXOFERRI","Civil Settlement","Germany"
